🎡hd0808源1025,#genre#
靖洋卡通Nice Bingo,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/132
i-Fun动漫台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/133
MOMO亲子台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/134
CN卡通,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/135
东森购物一台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/136
镜电视新闻台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/137
东森新闻台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/138
华视新闻,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/139
民视新闻台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/140
三立财经新闻iNEWS,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/141
TVBS新闻,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/142
东森财经新闻台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/143
中视新闻,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/144
中天新闻台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/145
寰宇新闻台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/146
SBN全球财经台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/147
TVBS,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/148
东森购物二台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/149
民视综艺台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/150
猪哥亮歌厅秀,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/151
靖天育乐台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/152
KLT-靖天国际台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/153
Nice TV 靖天欢乐台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/154
靖天资讯台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/155
中天全民最大党,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/156
TVBS欢乐台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/157
韩国娱乐台 KMTV,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/158
Lifetime 娱乐频道,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/159
电影原声台CMusic,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/160
TRACE Urban,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/161
MTV Live HD 音乐频道,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/162
Mezzo Live HD,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/163
CLASSICA 古典乐,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/164
博斯高球台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/165
博斯运动一台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/166
博斯无限台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/167
博斯网球台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/168
TRACE Sport Stars,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/169
智林体育台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/170
时尚运动X,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/171
车迷TV,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/172
GINX Esports TV,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/173
TechStorm,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/174
Pet Club TV,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/175
民视旅游台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/176
滚动力rollor,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/177
亚洲旅游台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/178
幸福空间居家台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/179
Love Nature,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/180
History 历史频道,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/181
Smithsonian Channel,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/182
爱尔达生活旅游台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/183
LUXE TV Channel,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/184
TV5MONDE STYLE HD 生活时尚,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/185
中天美食旅游,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/186
公视戏剧,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/187
民视影剧台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/188
龙华戏剧台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/189
HITS频道,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/190
龙华日韩台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/191
八大精彩台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/192
靖天戏剧台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/193
靖洋戏剧台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/194
CI 罪案侦查频道,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/195
视纳华仁纪实频道,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/196
影迷数位纪实台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/197
金光布袋戏,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/198
ROCK Extreme,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/199
采昌影剧台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/200
靖天映画,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/201
靖天电影台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/202
龙华电影台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/203
影迷数位电影台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/204
amc最爱电影,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/205
CinemaWorld,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/206
CATCHPLAY Beyond,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/207
CATCHPLAY电影台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/208
My Cinema Europe HD 我的欧洲电影,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/209
好消息2台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/210
好消息,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/211
大爱二台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/212
人间卫视,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/213
半岛国际新闻台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/214
VOA美国之音,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/215
CNBC Asia 财经台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/216
DW德国之声,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/217
CNN头条新闻台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/218
CNN国际新闻台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/219
国会频道1,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/220
国会频道2,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/221
经典电影台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/222
经典卡通台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/223
精选动漫台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/224
华语戏剧台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/225
华语综艺台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/226
NHK BS4K,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/477


🎡198源1025,#genre#
东森新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV20.m3u8
东森电影,http://198.16.64.10:8278/ettvmovie/playlist.m3u8?tid=MDED1943740419437404&ct=19225&tsum=120834a4218c4b5c3bb19efb8116f859
东森财经新闻,http://198.16.64.10:8278/ettvcaijing_twn/playlist.m3u8?tid=MD5D9010164090101640&ct=19225&tsum=cc229773020f89af853b23d81e0e6371
TVBS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV31.m3u8
中天亚洲,http://198.16.64.10:8278/ctiasia_twn/playlist.m3u8?tid=MC3C8838319088383190&ct=19226&tsum=6eaf7a477dd08b06a5dc54b4c05e52e1
中天新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
中视新闻,http://198.16.64.10:8278/zhongshinews_twn/playlist.m3u8?tid=MD8D4836803548368035&ct=19226&tsum=a2f06c15a5e9c4dc67565c2b8598c8da#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
民视新闻台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
华视,http://198.16.64.10:8278/ctshd_twn/playlist.m3u8?tid=MAFA1309481213094812&ct=19226&tsum=429f7c40691cdcc6c1fb108dbd11e002#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV26.m3u8
民视台湾台,http://198.16.64.10:8278/ftvtaiwan_twn/playlist.m3u8?tid=MDFD8196635981966359&ct=19226&tsum=b82639ac8b4590b4206effe348e2f9c2
宝宝电视,http://198.16.64.10:8278/babytv_twn/playlist.m3u8?tid=MC9C6892759268927592&ct=19225&tsum=c523d815f0353c10a5d528226ebb5779
CN卡通,http://198.16.64.10:8278/momo1_twn/playlist.m3u8?tid=MA0A4898983648989836&ct=19225&tsum=bd109117d126916f203880b1f2063d5e
Eleven1台,http://198.16.64.10:8278/bs181_japan/playlist.m3u8?tid=MEBE3981057839810578&ct=19225&tsum=d6fa49cd7b45b3bea924647730100283
Eleven2台,http://198.16.64.10:8278/bsfuji_japan/playlist.m3u8?tid=MEFE1641904216419042&ct=19225&tsum=e49ffeb9a6df295150be1cd8f9b0ea30
HBO高清,http://198.16.64.10:8278/hbohd_twn/playlist.m3u8?tid=ME9E5260921952609219&ct=19225&tsum=a904cd480db106670befb11d14149fce
HBO原创,http://198.16.64.10:8278/hbosignature_twn/playlist.m3u8?tid=MC5C5754321157543211&ct=19225&tsum=2b86077147813534b4cae6dd85bb3c4a
JET综合,http://198.16.64.10:8278/jettv_japan/playlist.m3u8?tid=MA7A4202687942026879&ct=19225&tsum=e84bc4851b9d6f6a18282c1efcb6ed1d
薄层色谱,http://198.16.64.10:8278/tlc_twn/playlist.m3u8?tid=MA0A5904082259040822&ct=19226&tsum=8fa7deead1d4b260825af15bc7378132#http://198.16.64.10:8278/Tlc/playlist.m3u8?tid=MDAD1036602010366020&ct=19225&tsum=ac890e48736a7dd973b991044c960239
东森幼幼,http://198.16.64.10:8278/yoyo_twn/playlist.m3u8?tid=MEBE7340063173400631&ct=19225&tsum=e95304aa3743de8d4f23a23642d4d8a5
八大戏剧,http://198.16.64.10:8278/badadrama/playlist.m3u8?tid=ME4E4734124647341246&ct=19225&tsum=c4e596572a79ad99675ee2137d1cc43d
国家地理,http://198.16.64.10:8278/Natgeo/playlist.m3u8?tid=MFCF3878328938783289&ct=19225&tsum=d9b8d4ee66870f387dfdf70452237e40
大爱,http://198.16.64.10:8278/daai_twn/playlist.m3u8?tid=MF5F4357730143577301&ct=19225&tsum=10c092424b1c12259444b68ad663c9eb#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV30.m3u8
好消息2,http://198.16.64.10:8278/good2_twn/playlist.m3u8?tid=ME9E3966510439665104&ct=19225&tsum=a2788b2ccea04a8a8082d663fb7838e5
探索亚洲,http://198.16.64.10:8278/discoverytwn_twn/playlist.m3u8?tid=MCEC2689621926896219&ct=19225&tsum=1739c52807970a89c1c15d7afea86b26
探索动力,http://198.16.64.10:8278/discoveryturbo_twn/playlist.m3u8?tid=MD5D5964869459648694&ct=19225&tsum=a21251b62069dff5c52601a3e4bc4a6d
探索科学,http://198.16.64.10:8278/discoverysc_twn/playlist.m3u8?tid=MA9A4194864841948648&ct=19225&tsum=d87ede28c5152d8a730038fd5fb8207f
ELTA体育1,http://198.16.64.10:8278/eltasport_twn/playlist.m3u8?tid=MB5B8133126081331260&ct=19225&tsum=5cb9d121709b107014d31cf856f3572e#http://198.16.64.10:8278/eltasport2_twn/playlist.m3u8?tid=MCDC5093685750936857&ct=19225&tsum=592e009b281ea2abc43b21768cb1bec0#http://198.16.64.10:8278/eltasport2_twn/playlist.m3u8?tid=MCDC5093685750936857&ct=19225&tsum=592e009b281ea2abc43b21768cb1bec0
ELTA影剧台,http://198.16.64.10:8278/eltadrama_twn/playlist.m3u8?tid=MFDF4206608342066083&ct=19225&tsum=c6e03c86e60731f01aef66e1b32dcc84#http://198.16.64.10:8278/eltayingju_twn/playlist.m3u8?tid=MFBF4492563944925639&ct=19225&tsum=d4fb09f164ea4850c14546a14d075d04#http://198.16.64.10:8278/eltayingju_twn/playlist.m3u8?tid=MFBF4492563944925639&ct=19225&tsum=d4fb09f164ea4850c14546a14d075d04
靖天国际,http://198.16.64.10:8278/jingtianintl_twn/playlist.m3u8?tid=ME4E7632479576324795&ct=19226&tsum=9922eeed6392b21e1710ba791cc599d6
龙华洋片,http://198.16.64.10:8278/lunghuawestern_twn/playlist.m3u8?tid=MC1C3944472239444722&ct=19226&tsum=99c0c7c82e2fc48b16605865c3eaeb82
龙华上海,http://198.16.64.10:8278/lunghuajingdian_twn/playlist.m3u8?tid=ME8E7785888977858889&ct=19226&tsum=a7c782372313ea616d8fced1cebdfbab
超级运动高清，http://198.16.64.10:8278/Assp1/playlist.m3u8?tid=MCDC9658624196586241&ct=19225&tsum=f9632aea1944f3d01b5d30a0dd0f1962
龙祥时代,http://198.16.64.10:8278/lungxiangtime_twn/playlist.m3u8?tid=MFFF9299444992994449&ct=19226&tsum=98d6988c4c94e299cb1c151856c909a8
AOD350,http://198.16.64.10:8278/Aod350/playlist.m3u8?tid=MB1B2059094520590945&ct=19225&tsum=bcc2ef93d38a7d6692870a50d8754563
AEC,http://198.16.64.10:8278/AEC/playlist.m3u8?tid=MEFE2766119727661197&ct=19225&tsum=463d13f46eb7fbc9a5566be797c3d48f
华丽台,http://198.16.64.10:8278/Wlt/playlist.m3u8?tid=MC9C7523788875237888&ct=19225&tsum=fc74aa160d3ca61369c2e5f3ae79ee8e
全佳,http://198.16.64.10:8278/Quanjia/playlist.m3u8?tid=MFFF3293542732935427&ct=19226&tsum=27c80d1bed9942e20443c39f523846fb
小太阳,http://198.16.64.10:8278/Xiaotaiyang/playlist.m3u8?tid=MAFA1322751713227517&ct=19226&tsum=25cc9973f561f9d263360e1636e24902#http://198.16.64.10:8278/Xiaotaiyang/playlist.m3u8?tid=MB3B7040387670403876&ct=19225&tsum=7406552381d844c4a83251cf91e80384#http://198.16.64.10:8278/Xiaotaiyang/playlist.m3u8?tid=MB3B7040387670403876&ct=19225&tsum=7406552381d844c4a83251cf91e80384
天映经典,http://198.16.64.10:8278/Celestial2/playlist.m3u8?tid=MD3D1210050512100505&ct=19225&tsum=d40ac484b1a904e59158bd911bbd8b89
GoShop,http://198.16.64.10:8278/Goshopch/playlist.m3u8?tid=ME8E6726672067266720&ct=19225&tsum=fc0c084625e23b3be63c14141de70916
TV8,http://198.16.64.10:8278/TV8/playlist.m3u8?tid=MDFD8437455184374551&ct=19225&tsum=ea08ca3d3651a75f499af2fc429eee35
TVBS新闻台,http://198.16.64.10:8278/tvbs_n/playlist.m3u8?tid=MECE3233774032337740&ct=19225&tsum=47a22a993d8e9b29582dfde5631c78b0
星卫高清电影,http://198.16.64.10:8278/xingwei_movie/playlist.m3u8?tid=MBDB4578128345781283&ct=19225&tsum=f2041ec954c95b4a5fe29d7ccbfe5b60
AXN,http://198.16.64.10:8278/Axn/playlist.m3u8?tid=MDAD8374621983746219&ct=19225&tsum=60883af30a38d2c40db4c04f8651ffaa
动物星球,http://198.16.64.10:8278/AnimalPlanet/playlist.m3u8?tid=MC3C3856400538564005&ct=19225&tsum=6255ab9649411a8a70c7cbf2ebd7eb23
阿瓦尼,http://198.16.64.10:8278/Awani/playlist.m3u8?tid=MB3B5555835155558351&ct=19225&tsum=148341f2ac3dfc57fd8bb8b2f6e4d190
英国广播公司 2,http://198.16.64.10:8278/bbc2_antik/playlist.m3u8?tid=MA6A4519490645194906&ct=19225&tsum=9b7ac03eed5276fa8bda87e0e8e64ed1
BERNAMA,http://198.16.64.10:8278/Bernama/playlist.m3u8?tid=MC0C7405967074059670&ct=19225&tsum=5814e3a83adc97e751cba4715f5cad0a
彭博,http://198.16.64.10:8278/bloomberg_twn/playlist.m3u8?tid=MD2D8088860380888603&ct=19225&tsum=ea1c6a2c09cef99386e1768a4ff4c61c
牛熊证,http://198.16.64.10:8278/cbbc_antik/playlist.m3u8?tid=MA4A9598485295984852&ct=19225&tsum=f014b03e65dd6b89eacae112ac675ef6
CBeebies,http://198.16.64.10:8278/Cbeebies/playlist.m3u8?tid=ME5E7901951779019517&ct=19225&tsum=03bb5bab7f669081444ce37cda408b8d
NAT GEO WILD,http://198.16.64.10:8278/Natgeowild/playlist.m3u8?tid=MB1B3860629238606292&ct=19225&tsum=315ac040bcdf094ccacd3f57a127d1bf
国家地理,http://198.16.64.10:8278/Natgeo/playlist.m3u8?tid=MFCF3878328938783289&ct=19225&tsum=d9b8d4ee66870f387dfdf70452237e40
一,http://198.16.64.10:8278/One/playlist.m3u8?tid=MB4B6226023862260238&ct=19225&tsum=a05a992f9150d8a389300bf4e108767f
华纳电视,http://198.16.64.10:8278/WarnerTV/playlist.m3u8?tid=MADA9911440699114406&ct=19225&tsum=19bde622e34ceabf296cf92a9a1adede
翡翠台,http://198.16.64.10:8278/jade_twn/playlist.m3u8?tid=MA3A7166615971666159&ct=19226&tsum=abeff4c5d0d1ad10147a21ebc6cc5182#http://198.16.64.10:8278/jade_twn/playlist.m3u8?tid=ME6E1330319113303191&ct=19225&tsum=d76985c4965fd63807e131035f66af09#http://198.16.64.10:8278/jade_twn/playlist.m3u8?tid=ME6E1330319113303191&ct=19225&tsum=d76985c4965fd63807e131035f66af09
无线新闻台,http://198.16.64.10:8278/inews_twn/playlist.m3u8?tid=MF7F8784108987841089&ct=19225&tsum=50d719a9ed62cc070153963585e6d9d3
J2,http://198.16.64.10:8278/j2_twn/playlist.m3u8?tid=MA8A1176878411768784&ct=19225&tsum=fea41bb592165942b9971148376f8b70
明珠台,http://198.16.64.10:8278/pearl_twn/playlist.m3u8?tid=MC6C7041327570413275&ct=19226&tsum=681972baf66d69caf7cccc92a90e5aad
RTHK32,http://198.16.64.10:8278/rhk32_twn/playlist.m3u8?tid=MBCB4455322944553229&ct=19226&tsum=60bac13753ada5abc8873783d6611ebd
VIUTV,http://198.16.64.10:8278/viu_twn/playlist.m3u8?tid=MF2F6219999362199993&ct=19225&tsum=0315b071e42f6b8b6f49b6ca58b7393b
英国广播公司地球,http://198.16.64.10:8278/bbcearth_twn/playlist.m3u8?tid=ME4E1221123312211233&ct=19225&tsum=6c7cae0711b757a53b43540bf40f93b0
VIUTV 6,http://198.16.64.10:8278/viusix_twn/playlist.m3u8?tid=MC6C1412376614123766&ct=19225&tsum=f4273425d435057616c3380b9e2a0287


🎡ChiSheng源1025,#genre#
寰宇新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
镜新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
三立新闻inews,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
